ID,target
000137c73,3129656.870141688
00021489f,1497706.5278642308
0004d7953,2510496.448101674
00056a333,7567082.462767724
00056d8eb,1978555.4569832266
0005fc190,2204852.463012775
000787e86,3364757.5592193343
0008510a0,6190649.688006936
000895faf,3304069.970456494
000986fba,2603494.62217487
0009efcc5,1768729.6583017325
000dd8f00,2004510.5796076087
000e1cdc2,2183248.4986785194
00103739c,2233056.2736964496
00134b367,3267869.305096615
001788d0d,1017533.7739448005
0019c8ad7,2613791.6001306754
001a267b9,1268939.4484855249
001a85486,3589302.2687657913
001c4de06,5608007.538001498
001f9014b,1524679.0622335176
00216fb94,2845077.309617741
00235690e,3799452.265390395
00240739d,3930369.1135375956
0024c3747,2618716.838050709
00297052d,4039453.963496536
002ab8f85,3804916.716749936
002bed5c0,3673792.9444066905
002bf3974,7632463.645340431
002d23a26,3681617.803859367
002f27de9,4086153.91539942
0030d8bb4,2407368.141917613
003146acd,851800.2056147326
003223263,1360926.8309273703
00335575e,4382958.877032839
00337cf9d,3180955.4806955103
003394397,2937380.842957926
0036358a3,2223610.1955481647
003770d30,4150537.1164487093
003bed5ea,1635517.3106611783
003ea6427,2890128.824931208
003ef8132,2500732.7948475163
003fd1723,3058511.530993742
0041861b4,713746.0323683942
0042b718b,1784358.9735210298
004381d8f,4776341.654567454
0043ca764,2919256.5162033
004486837,2262291.7389400667
0045c123e,2084144.5839429444
0048915c6,3484655.272440527
004ab9a09,1898690.5129220062
004b2e1c9,4280317.264767012
004c54732,1134750.333144909
004cdefce,3486131.097745569
004dd971b,4738421.662368084
004f9329b,3138426.1675039027
004fd2bca,1473653.0952252226
0054bfedb,1087285.4676524682
0054ec58a,627654.4849664374
00551f45d,12264222.953911649
005777b4c,2505803.4256574847
00578d6ea,3821958.63253795
005802488,2748265.385218144
0059833b6,1774644.9902005035
005a70085,2910369.555930859
005b148a0,1448299.9110631854
005c28df4,3500105.8756367606
005f8dc26,4343441.438014131
00603c202,10793555.731908308
006049609,3442189.4177263957
00612f47e,1047166.9861217364
00647a57f,2924659.7269598786
0065853ee,1231128.0933737988
006589d5e,1271328.1213691793
006598823,4856631.738705377
0065c093c,2773840.9537909604
006738351,3053047.3712007096
006a0c6a8,2057984.441052745
006e9efe6,3840574.612812218
006f029d3,2015121.4663674578
0070f35a2,2811070.459812833
007135f85,1504657.1252483805
007285433,4500761.845284773
00735e101,3148610.002526207
0074ecf4e,2382757.0662761023
007635fa9,3118359.4250567183
007723613,3209764.7796769217
007867da9,871985.1203246631
0078bfbd6,1201360.6947439534
0078ce229,1043078.4964752959
007a89d50,2741425.3661178844
007d43dfa,4274398.336020785
007ee9e05,4270503.088033254
007ffeae2,2846806.192862053
00835c85c,3018534.5782820755
0084b08f1,4130848.072105503
0087fb290,1014013.4556697463
0088a96bd,1742962.81603566
008ac4292,3049351.8600425846
008d8cca8,3731465.287655481
008e07b8c,3466914.6736257896
008e5e25a,4872483.887481312
0094edcdb,2908491.11798578
00950141c,3517922.377635445
009566ef1,4621775.138334348
0095c81d4,921070.1632739325
0097a6ed4,2869393.9311114675
0098fef9a,1652125.0760346057
009b321ec,5813469.9618189745
009cd681e,3195288.0473362124
009f34f86,1871685.3755826545
009f35cd3,1537836.483974197
009f65109,3207558.50595492
00a19014a,1595234.1906461762
00a27e76a,1535832.9533480285
00a3b6ef7,5039869.231656183
00a427603,1530040.8193682833
00a6dc8be,3703193.07344549
00a811734,6526854.339044804
00a8f58a7,1050871.551186914
00aaae151,1974753.2408258726
00ab17f67,4306222.341707965
00ac2d3a5,2995444.0564131862
00adab1b6,2840192.181260233
00aef0d56,863006.4117209573
00b0b06c4,2226402.6582685295
00b0e2303,2151067.509631507
00b1fbbc9,884393.4251243554
00b43e0c1,4880264.128167216
00b7190a8,2317489.2492212383
00b722e1b,1807047.8115070944
00bba815f,3899585.6220854716
00bbb1c42,2638727.1813574145
